1,1,212.0,325.0,54.0,25.0,1,2,1,-1
1,2,276.0,295.0,59.0,44.0,1,1,1,-1
1,3,707.27,102.39,25.2,39.3,1,2,1,-1
1,4,696.0,248.0,39.0,37.0,1,1,1,-1
1,5,79.0,337.0,32.0,28.0,1,2,1,-1
1,6,679.0,177.0,18.0,20.0,1,2,1,-1
1,7,1.0,246.0,42.0,37.0,1,3,1,-1
1,8,763.0,161.0,41.0,36.0,1,3,1,-1
1,9,177.0,349.0,36.0,35.0,1,3,1,-1
1,10,381.6,60.9,17.2,19.8,1,2,1,-1
1,11,304.3,94.1,38.2,27.9,1,3,1,-1
1,12,172.9,306.5,29.6,24.7,1,2,1,-1
1,13,117.0,303.0,45.0,39.0,1,2,1,-1
1,14,648.8,273.6,33.8,40.8,1,2,1,-1
1,15,780.36,101.68,19.5,18.0,1,2,1,-1
2,5,149.0,334.0,32.0,26.0,1,2,1,-1
2,9,235.0,350.0,36.0,31.0,1,3,1,-1
2,14,725.0,273.0,41.0,36.0,1,2,1,-1
2,3,798.6,101.2,26.1,36.8,1,2,1,-1
2,12,240.3,301.65,28.23,24.05,1,2,1,-1
2,13,178.0,301.0,53.0,42.0,1,2,1,-1
2,1,278.0,309.0,51.0,37.0,1,2,1,-1
2,2,355.0,305.0,47.0,32.0,1,1,1,-1
2,15,890.04,95.17,18.3,21.4,1,2,1,-1
2,8,869.0,159.0,41.0,36.0,1,3,1,-1
2,6,789.0,174.0,22.0,23.0,1,2,1,-1
2,20,1070.0,216.0,18.0,16.0,1,3,1,-1
2,7,74.0,250.0,19.0,19.0,1,2,1,-1
2,10,455.3,51.2,16.7,19.5,1,2,1,-1
2,4,791.0,244.0,44.0,41.0,1,2,1,-1
3,24,401.97,141.81,34.99,32.11,1,3,1,-1
3,13,238.0,303.0,51.0,44.0,1,2,1,-1
3,8,938.0,165.0,41.0,37.0,1,3,1,-1
3,25,304.0,304.0,25.0,23.0,1,2,1,-1
3,9,290.0,352.0,37.0,32.0,1,3,1,-1
3,10,502.9,53.2,36.2,32.8,1,3,1,-1
3,4,858.0,250.0,40.0,36.0,1,2,1,-1
3,3,855.52,106.72,30.12,39.48,1,2,1,-1
3,2,401.73,314.64,53.39,27.13,1,1,1,-1
3,14,780.0,277.0,39.0,32.0,1,2,1,-1
3,1,340.0,309.0,49.0,40.0,1,2,1,-1
3,12,340.0,309.0,49.0,40.0,1,2,1,-1
3,6,867.0,181.0,21.0,21.0,1,2,1,-1
3,36,223.0,337.0,30.0,26.0,1,2,1,-1
3,7,123.5,241.0,56.5,40.5,1,3,1,-1
4,10,507.96,94.86,30.9,26.3,1,3,1,-1
